annee,marque,modele,prix,kilometrage,ville,lien,URL_image,carrosserie,couleur,couleur_interieure,transmission,type_carburant,nombre_places,nombre_portes,equipements,plateforme,vendue,date_rafraichi,ancien_prix
2022,BMW,X5,80319,43156,Montreal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-bmw-x5-m50i-premium-ameliore-harman-kardon-freins/m10431647,https://media.kijiji.ca/api/v1/autos-prod-ads/images/27/273bdd00-d945-4625-ad92-a0bd168d796a?rule=kijijica-640-webp,SUV,Grey,Black,Automatique,Gas,5.0,4.0,"Alloy wheels, Bluetooth, Navigation system, Parking assistant, Push button start, Sunroof",kijiji,False,2025-04-22,79519.0
2023,Ford,F-150,58995,88883,Pincourt,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-ford-f-150-lariat-4x4-navigation-cuir-sieges-chauffants/m10589416,https://media.kijiji.ca/api/v1/autos-prod-ads/images/19/190a67d0-8f24-4b87-b87d-d92c1fdb407b?rule=kijijica-640-webp,Pickup,Black,Black,Automatique,,5.0,4.0,"Alloy wheels, Bluetooth, Navigation system, Parking assistant",kijiji,False,2025-04-22,59995.0
2023,Nissan,MURANO,35977,22600,Pincourt,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-nissan-murano-sl-awd-sl-awd/m10629041,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d8/d83e22cf-5b11-494b-8581-82b9b788c1f3?rule=kijijica-640-webp,SUV,White,Black,N/O,Gas,5.0,4.0,"Bluetooth, Navigation system, Parking assistant, Sunroof",kijiji,False,2025-04-22,36495.0
2015,Chevrolet,VOLT,12998,79800,Saint-Bruno,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2015-chevrolet-volt-lt-bas-kilometrage-clean-carfax-insoec/m10390113,https://media.kijiji.ca/api/v1/autos-prod-ads/images/2f/2fd5a432-03f2-40da-82cd-acc2486321eb?rule=kijijica-640-webp,Other,Black,,Automatique,,,,,kijiji,False,2025-04-22,
2018,Lexus,NX 300,29499,110200,Verdun,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2018-lexus-nx-nx-300-fsport-toit-ouvrant-cuir-mags-j/m10452937,https://media.kijiji.ca/api/v1/autos-prod-ads/images/7e/7e484488-7d73-49bf-851f-6966083e0af3?rule=kijijica-640-webp,SUV,Grey,Other,Automatique,Gas,5.0,4.0,"Alloy wheels, Bluetooth, Push button start, Sunroof",kijiji,True,2025-04-22,
2018,Jeep,COMPASS,17490,124570,Boucherville,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2018-jeep-compass-trailhawk-trailhawk-4rm-camera-de-recul-car/m10546097,https://media.kijiji.ca/api/v1/autos-prod-ads/images/9d/9d25dd57-8e6c-41bb-b35b-c92dc74df89d?rule=kijijica-640-webp,SUV,Red,Black,Automatique,Gas,5.0,4.0,"Alloy wheels, Bluetooth",kijiji,False,2025-04-22,
2016,Lexus,NX 200T,21995,180156,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2016-lexus-nx-200t-f-sport-un-proprio-clean-carfax-financement/m10628992,https://img.youtube.com/vi/KDOyFY35Zoc/sddefault.jpg,SUV,Black,Black,Automatique,Gas,,4.0,"Bluetooth, Sunroof",kijiji,True,2025-04-22,
2018,Nissan,KICKS,14775,93069,Longueuil / South Shore,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2018-nissan-kicks-camera-de-recul-bluetooth-bancs-chauffants/m10628981,https://media.kijiji.ca/api/v1/autos-prod-ads/images/fc/fc5a9289-19cf-4e76-98c4-8bb3cf4c4818?rule=kijijica-640-webp,SUV,Grey,Other,N/O,Gas,5.0,4.0,Bluetooth,kijiji,False,2025-04-22,
2020,Chevrolet,SILVERADO 1500,34999,152363,Saint-Léonard,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-chevrolet-silverado-1500-rst-v8-crew-cab-toujours-bie/m10408290,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5a/5a5b0019-f0da-4f7c-8b16-adbdf640c66f?rule=kijijica-640-webp,Pickup,Grey,Black,Automatique,,5.0,4.0,Bluetooth,kijiji,False,2025-04-22,36990.0
2022,Ford,BRONCO SPORT,35900,28000,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-ford-bronco-sport-big-bend-sport/m6874042,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0ddc684-18d5-4b06-8475-113e5db05ad5?rule=kijijica-640-webp,SUV,Black,Grey,Automatique,Gas,5.0,4.0,"Bluetooth, Push button start",kijiji,False,2025-04-22,
2010,Ford,F-350,25995,195,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/ford-f350-super-duty-2010-v10-triton-4x4/1714377543,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/56/5685f8aa-2126-4c33-8d00-caee082f3299?rule=kijijica-640-webp,Pickup,Brown,,Automatique,Gas,,4.0,"Alloy wheels, Bluetooth",kijiji,False,2025-04-22,
2023,Land Rover,DEFENDER,84995,52000,Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-land-rover-defender-p400-110-x-dynamic-se-awd-full/m9952423,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fac5d73-7943-4529-966f-3e70f8a0b567?rule=kijijica-640-webp,SUV,White,Black,Automatique,,,4.0,"Bluetooth, Navigation system, Sunroof",kijiji,False,2025-04-22,85995.0
2020,Honda,CR-V,27295,98233,Montreal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-honda-cr-v-touring-toit-cuir-demarreur/m10319463,https://media.kijiji.ca/api/v1/autos-prod-ads/images/34/3430ec9d-5844-4df9-9bcd-32e5c5302a52?rule=kijijica-640-webp,SUV,Grey,Black,Automatique,Gas,5.0,4.0,"Bluetooth, Sunroof",kijiji,True,2025-04-22,
2024,Lexus,NX 350,51380,17142,Laval,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-lexus-nx-nx-350-navigation-camera-bluetooth-bien-equi/m10589392,https://img.youtube.com/vi/3ynOLbo_gtg/sddefault.jpg,SUV,Black,Other,Automatique,Gas,5.0,4.0,"Bluetooth, Navigation system, Sunroof",kijiji,False,2025-04-22,51480.0
