annee,marque,modele,ville,lien,prix,kilometrage,URL_image,carrosserie,couleur,couleur_interieure,transmission,type_carburant,nombre_places,nombre_portes,equipements,plateforme,vendue,date_rafraichi,ancien_prix
2022,BMW,X5,Montreal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-bmw-x5-m50i-premium-ameliore-harman-kardon-freins/m10431647,80319.0,43156.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/27/273bdd00-d945-4625-ad92-a0bd168d796a?rule=kijijica-640-webp,SUV,Grey,Black,Automatic,Gas,5.0,4.0,"Alloy wheels, Bluetooth, Navigation system, Parking assistant, Push button start, Sunroof",kijiji,False,2025-04-23,
2023,Ford,F-150,Pincourt,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-ford-f-150-lariat-4x4-navigation-cuir-sieges-chauffants/m10589416,58995.0,88883.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/19/190a67d0-8f24-4b87-b87d-d92c1fdb407b?rule=kijijica-640-webp,Pickup,Black,Black,Automatic,,5.0,4.0,"Alloy wheels, Bluetooth, Navigation system, Parking assistant",kijiji,False,2025-04-23,
2023,Nissan,Murano,Pincourt,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-nissan-murano-sl-awd-sl-awd/m10629041,35977.0,22600.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d8/d83e22cf-5b11-494b-8581-82b9b788c1f3?rule=kijijica-640-webp,SUV,White,Black,,Gas,5.0,4.0,"Bluetooth, Navigation system, Parking assistant, Sunroof",kijiji,False,2025-04-23,
2015,Chevrolet,Volt,Saint-Bruno,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2015-chevrolet-volt-lt-bas-kilometrage-clean-carfax-insoec/m10390113,12998.0,79800.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/2f/2fd5a432-03f2-40da-82cd-acc2486321eb?rule=kijijica-640-webp,Other,Black,,Automatic,,,,,kijiji,False,2025-04-23,
2018,Lexus,NX 300,Verdun,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2018-lexus-nx-nx-300-fsport-toit-ouvrant-cuir-mags-j/m10452937,29499.0,110200.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/7e/7e484488-7d73-49bf-851f-6966083e0af3?rule=kijijica-640-webp,SUV,Grey,Other,Automatic,Gas,5.0,4.0,"Alloy wheels, Bluetooth, Push button start, Sunroof",kijiji,True,2025-04-22,
2018,Jeep,Compass,Boucherville,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2018-jeep-compass-trailhawk-trailhawk-4rm-camera-de-recul-car/m10546097,17490.0,124570.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/9d/9d25dd57-8e6c-41bb-b35b-c92dc74df89d?rule=kijijica-640-webp,SUV,Red,Black,Automatic,Gas,5.0,4.0,"Alloy wheels, Bluetooth",kijiji,False,2025-04-23,
2016,Lexus,NX 200t,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2016-lexus-nx-200t-f-sport-un-proprio-clean-carfax-financement/m10628992,21995.0,180156.0,https://img.youtube.com/vi/KDOyFY35Zoc/sddefault.jpg,SUV,Black,Black,Automatic,Gas,,4.0,"Bluetooth, Sunroof",kijiji,True,2025-04-22,
2018,Nissan,Kicks,Longueuil / South Shore,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2018-nissan-kicks-camera-de-recul-bluetooth-bancs-chauffants/m10628981,14775.0,93069.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/fc/fc5a9289-19cf-4e76-98c4-8bb3cf4c4818?rule=kijijica-640-webp,SUV,Grey,Other,,Gas,5.0,4.0,Bluetooth,kijiji,False,2025-04-22,
2020,Chevrolet,Silverado 1500,Saint-Léonard,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-chevrolet-silverado-1500-rst-v8-crew-cab-toujours-bie/m10408290,34999.0,152363.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5a/5a5b0019-f0da-4f7c-8b16-adbdf640c66f?rule=kijijica-640-webp,Pickup,Grey,Black,Automatic,,5.0,4.0,Bluetooth,kijiji,False,2025-04-23,
2022,Ford,Bronco Sport,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-ford-bronco-sport-big-bend-sport/m6874042,35900.0,28000.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0ddc684-18d5-4b06-8475-113e5db05ad5?rule=kijijica-640-webp,SUV,Black,Grey,Automatic,Gas,5.0,4.0,"Bluetooth, Push button start",kijiji,False,2025-04-23,
2010,Ford,F-350,City of Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/ford-f350-super-duty-2010-v10-triton-4x4/1714377543,25995.0,195.0,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/56/5685f8aa-2126-4c33-8d00-caee082f3299?rule=kijijica-640-webp,Pickup,Brown,,Automatic,Gas,,4.0,"Alloy wheels, Bluetooth",kijiji,False,2025-04-23,
2023,Land Rover,Defender,Montréal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-land-rover-defender-p400-110-x-dynamic-se-awd-full/m9952423,84995.0,52000.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fac5d73-7943-4529-966f-3e70f8a0b567?rule=kijijica-640-webp,SUV,White,Black,Automatic,,,4.0,"Bluetooth, Navigation system, Sunroof",kijiji,False,2025-04-23,
2020,Honda,CR-V,Montreal,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-honda-cr-v-touring-toit-cuir-demarreur/m10319463,27295.0,98233.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/34/3430ec9d-5844-4df9-9bcd-32e5c5302a52?rule=kijijica-640-webp,SUV,Grey,Black,Automatic,Gas,5.0,4.0,"Bluetooth, Sunroof",kijiji,True,2025-04-22,
2024,Lexus,NX 350,Laval,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-lexus-nx-nx-350-navigation-camera-bluetooth-bien-equi/m10589392,51380.0,17142.0,https://img.youtube.com/vi/3ynOLbo_gtg/sddefault.jpg,SUV,Black,Other,Automatic,Gas,5.0,4.0,"Bluetooth, Navigation system, Sunroof",kijiji,False,2025-04-23,
2023,BMW,iX,Laval / North Shore,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-bmw-ix-xdrive40/m6874034,65500.0,8900.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5f/5f9f6eb0-6cd6-4e87-813e-da9c3a1b9d05?rule=kijijica-640-webp,SUV,Green,,Automatic,Electric,5.0,4.0,"Bluetooth, Navigation system, Parking assistant, Push button start",kijiji,False,2025-04-23,
2018,Chevrolet,Cruze,Laval,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2018-chevrolet-cruze-premier/m10482870,13949.0,97500.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/6f/6fd705d8-84cf-447c-bedd-dd7c846e17d4?rule=kijijica-640-webp,Sedan,Black,,Automatic,Gas,5.0,4.0,Bluetooth,kijiji,True,2025-04-22,
2020,Ford,Explorer,Vaudreuil-Dorion,https://www.kijiji.ca/v-cars-trucks/ouest-de-lile-qc/2020-ford-explorer-police-interceptor-awd-police-pack/m10125649,15995.0,267104.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5c/5cde6c73-8ac2-4d4a-9e36-85516daf4d43?rule=kijijica-640-webp,SUV,Black,Black,Automatic,Gas,4.0,4.0,Bluetooth,kijiji,False,2025-04-23,
2021,Mazda,CX-5,Pincourt,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-mazda-cx-5-gs-comfort-awd-gs-comfort-awd/m10628991,23577.0,101123.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/40/40c5196e-0bff-4e55-a62b-c19aee203be0?rule=kijijica-640-webp,SUV,White,Black,,Gas,5.0,4.0,"Alloy wheels, Bluetooth, Sunroof",kijiji,True,2025-04-22,
2020,Porsche,Panamera,Dollard-Des Ormeaux,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-porsche-panamera-4-10-year-edition-cam-360-bose-toit/m10628987,79999.0,53200.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a5/a52adfcb-b702-4302-b4fc-b042ab36b28c?rule=kijijica-640-webp,Sedan,,,Automatic,Gas,4.0,4.0,"Bluetooth, Navigation system, Parking assistant, Sunroof",kijiji,False,2025-04-23,
2020,Chevrolet,Bolt,Saint-Bruno,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-chevrolet-bolt-ev-premier-cuir-camera-recul-apple-car/m10475186,17999.0,113000.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/32/325b30a1-1797-4d1a-92cb-a0e0d89542ec?rule=kijijica-640-webp,Sedan,,,Automatic,Electric,5.0,4.0,"Bluetooth, Parking assistant",kijiji,True,2025-04-22,
2022,Toyota,RAV4,Boucherville,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-toyota-rav4-le-le-awd/m10546101,31999.0,82188.0,https://media.kijiji.ca/api/v1/autos-prod-ads/images/8c/8c2ee3a9-aaef-4fff-9ddd-9039531a1f10?rule=kijijica-640-webp,SUV,White,Black,Other,Gas,5.0,4.0,Bluetooth,kijiji,False,2025-04-23,
