marque,modele,annee,sous_modele,version,prix,consommation,moteur,puissance,transmission,carrosserie,portes,places,url
Acura,ILX,2013,Base,Base,27850,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2013/base/base/
Acura,ILX,2013,Base,Dynamic,30050,9.8 (Manuelle ville) / 6.5 (Manuelle autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     7000 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2013/base/dynamic/
Acura,ILX,2013,Base,Hybride,35050,5.0 (Automatique ville) / 4.8 (Automatique autoroute),L4 1.5L SACT 8 soupapes + moteur electrique,111 cv @                                                     5500 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2013/base/hybride/
Acura,ILX,2013,Base,Premium,30050,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2013/base/premium/
Acura,ILX,2013,Base,Tech,32350,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2013/base/tech/
Acura,ILX,2014,Base,Base,27990,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2014/base/base/
Acura,ILX,2014,Base,Dynamic,31990,9.8 (Manuelle ville) / 6.5 (Manuelle autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     7000 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2014/base/dynamic/
Acura,ILX,2014,Base,Hybride,35190,5.0 (Automatique ville) / 4.8 (Automatique autoroute),L4 1.5L SACT 8 soupapes + moteur electrique,111 cv @                                                     5500 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2014/base/hybride/
Acura,ILX,2014,Base,Premium,30190,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2014/base/premium/
Acura,ILX,2014,Base,Tech,31990,8.6 (Automatique ville) / 5.6 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2014/base/tech/
Acura,ILX,2015,Base,Base,27990,9.7 (Automatique ville) / 6.7 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2015/base/base/
Acura,ILX,2015,Base,Dynamic,32090,10.8 (Manuelle ville) / 7.4 (Manuelle autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     7000 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2015/base/dynamic/
Acura,ILX,2015,Base,Hybride,35290,6.0 (Automatique ville) / 6.1 (Automatique autoroute),L4 1.5L SACT 8 soupapes + moteur electrique,111 cv @                                                     5500 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2015/base/hybride/
Acura,ILX,2015,Base,Premium,30290,9.7 (Automatique ville) / 6.7 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2015/base/premium/
Acura,ILX,2015,Base,Tech,32090,9.7 (Automatique ville) / 6.7 (Automatique autoroute),L4 2.0L SACT 16 soupapes,150 cv @                                                     6500 rpm,Automatique,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2015/base/tech/
Acura,ILX,2016,Base,A-Spec,34890,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2016/base/a-spec/
Acura,ILX,2016,Base,Base,29490,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2016/base/base/
Acura,ILX,2016,Base,Premium,31990,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2016/base/premium/
Acura,ILX,2016,Base,Tech,33490,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2016/base/tech/
Acura,ILX,2017,Base,A-Spec,35090,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2017/base/a-spec/
Acura,ILX,2017,Base,Base,29690,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2017/base/base/
Acura,ILX,2017,Base,Premium,32190,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2017/base/premium/
